flight_id,date,arrival_time,pax_total,pax_acaps,terminal,gate_id,day_of_week,season
WS125,2024-01-01,11:15,177,8,T1,E72,Monday,Winter
BA189,2024-01-01,15:45,88,1,T1,E78,Monday,Winter
F8617,2024-01-01,17:00,223,5,T1,E90,Monday,Winter
AA325,2024-01-01,15:30,81,3,T1,E75,Monday,Winter
AA448,2024-01-01,11:15,175,13,T1,E82,Monday,Winter
WS194,2024-01-01,12:00,171,7,T1,E80,Monday,Winter
AC847,2024-01-01,16:00,176,3,T1,E80,Monday,Winter
DL691,2024-01-01,06:00,131,8,T1,E80,Monday,Winter
WS975,2024-01-01,11:00,217,11,T1,E82,Monday,Winter
TS479,2024-01-01,09:15,291,14,T1,E72,Monday,Winter
TS646,2024-01-01,07:15,238,13,T1,E90,Monday,Winter
F8801,2024-01-01,11:00,178,12,T1,E82,Monday,Winter
AA374,2024-01-01,08:15,265,19,T1,E82,Monday,Winter
F8771,2024-01-01,15:45,244,8,T1,E80,Monday,Winter
TS352,2024-01-01,17:30,229,7,T1,E85,Monday,Winter
DL324,2024-01-01,11:45,143,10,T1,E72,Monday,Winter
TS742,2024-01-01,08:45,272,11,T1,E85,Monday,Winter
LH641,2024-01-01,08:00,294,20,T1,E90,Monday,Winter
UA887,2024-01-01,22:30,108,3,T1,E75,Monday,Winter
LH103,2024-01-01,22:30,208,8,T1,E90,Monday,Winter
WS991,2024-01-01,20:30,243,8,T1,E78,Monday,Winter
TS482,2024-01-01,08:00,273,14,T1,E70,Monday,Winter
WS471,2024-01-01,09:15,134,6,T1,E72,Monday,Winter
WS849,2024-01-01,14:00,216,9,T1,E75,Monday,Winter
LH662,2024-01-01,09:30,255,19,T1,E85,Monday,Winter
F8652,2024-01-01,18:15,159,5,T1,E82,Monday,Winter
LH629,2024-01-01,15:00,143,3,T1,E82,Monday,Winter
AC702,2024-01-01,16:15,230,6,T1,E72,Monday,Winter
AC334,2024-01-01,08:00,204,8,T1,E78,Monday,Winter
UA785,2024-01-01,14:15,218,5,T1,E88,Monday,Winter
F8903,2024-01-01,12:45,128,2,T1,E85,Monday,Winter
DL533,2024-01-01,16:45,93,3,T1,E72,Monday,Winter
AC512,2024-01-01,07:00,183,8,T1,E90,Monday,Winter
LH243,2024-01-01,12:15,151,5,T1,E72,Monday,Winter
LH927,2024-01-01,16:00,92,3,T1,E90,Monday,Winter
AC195,2024-01-01,06:15,224,13,T1,E78,Monday,Winter
AA160,2024-01-01,09:45,120,9,T1,E80,Monday,Winter
LH392,2024-01-01,12:45,119,3,T1,E78,Monday,Winter
AC693,2024-01-01,15:00,160,3,T1,E88,Monday,Winter
BA973,2024-01-01,13:15,94,4,T1,E72,Monday,Winter
TS170,2024-01-01,16:00,140,4,T1,E78,Monday,Winter
AC734,2024-01-01,10:45,288,18,T1,E90,Monday,Winter
DL367,2024-01-01,08:30,181,9,T1,E75,Monday,Winter
UA568,2024-01-01,10:00,122,7,T1,E72,Monday,Winter
WS650,2024-01-01,09:30,153,11,T1,E72,Monday,Winter
F8478,2024-01-02,06:15,232,17,T1,E80,Tuesday,Winter
BA108,2024-01-02,20:30,249,5,T1,E75,Tuesday,Winter
UA218,2024-01-02,07:15,189,9,T1,E78,Tuesday,Winter
DL308,2024-01-02,22:30,209,7,T1,E70,Tuesday,Winter
WS749,2024-01-02,12:30,91,1,T1,E75,Tuesday,Winter
UA265,2024-01-02,14:45,223,4,T1,E72,Tuesday,Winter
TS658,2024-01-02,10:30,269,16,T1,E85,Tuesday,Winter
TS142,2024-01-02,09:30,130,9,T1,E78,Tuesday,Winter
F8782,2024-01-02,07:30,263,19,T1,E85,Tuesday,Winter
TS342,2024-01-02,08:15,225,9,T1,E82,Tuesday,Winter
AA921,2024-01-02,20:15,148,3,T1,E72,Tuesday,Winter
AA993,2024-01-02,10:45,176,8,T1,E88,Tuesday,Winter
DL412,2024-01-02,11:15,126,8,T1,E85,Tuesday,Winter
DL385,2024-01-02,08:30,209,13,T1,E85,Tuesday,Winter
BA439,2024-01-02,09:00,186,8,T1,E80,Tuesday,Winter
AC211,2024-01-02,16:45,168,7,T1,E82,Tuesday,Winter
AA720,2024-01-02,17:00,178,8,T1,E78,Tuesday,Winter
UA145,2024-01-02,20:45,80,2,T1,E90,Tuesday,Winter
F8472,2024-01-02,13:00,250,11,T1,E82,Tuesday,Winter
WS837,2024-01-02,08:30,290,16,T1,E85,Tuesday,Winter
UA667,2024-01-02,10:15,227,15,T1,E85,Tuesday,Winter
TS730,2024-01-02,12:30,183,6,T1,E70,Tuesday,Winter
UA393,2024-01-02,08:45,268,17,T1,E82,Tuesday,Winter
LH552,2024-01-02,14:15,210,7,T1,E75,Tuesday,Winter
WS390,2024-01-02,17:30,103,4,T1,E78,Tuesday,Winter
UA330,2024-01-02,07:15,126,5,T1,E88,Tuesday,Winter
WS566,2024-01-02,17:15,178,6,T1,E78,Tuesday,Winter
TS771,2024-01-02,18:00,107,4,T1,E78,Tuesday,Winter
TS923,2024-01-02,19:45,92,3,T1,E72,Tuesday,Winter
LH236,2024-01-02,17:30,193,7,T1,E90,Tuesday,Winter
AA950,2024-01-02,16:45,120,5,T1,E88,Tuesday,Winter
LH365,2024-01-02,07:30,253,15,T1,E78,Tuesday,Winter
UA550,2024-01-02,09:30,180,9,T1,E82,Tuesday,Winter
BA182,2024-01-02,11:15,179,9,T1,E75,Tuesday,Winter
F8165,2024-01-02,17:45,164,5,T1,E85,Tuesday,Winter
AC311,2024-01-02,17:45,229,11,T1,E70,Tuesday,Winter
AA588,2024-01-02,06:30,196,13,T1,E85,Tuesday,Winter
BA865,2024-01-02,15:15,204,5,T1,E85,Tuesday,Winter
LH129,2024-01-02,13:30,183,7,T1,E88,Tuesday,Winter
TS737,2024-01-02,14:00,180,6,T1,E70,Tuesday,Winter
WS758,2024-01-02,12:15,198,5,T1,E80,Tuesday,Winter
AA435,2024-01-02,09:45,203,10,T1,E85,Tuesday,Winter
UA870,2024-01-02,17:30,100,3,T1,E90,Tuesday,Winter
AC458,2024-01-02,10:00,286,11,T1,E70,Tuesday,Winter
F8304,2024-01-02,08:15,181,8,T1,E72,Tuesday,Winter
F8576,2024-01-03,19:30,174,4,T1,E72,Wednesday,Winter
TS418,2024-01-03,07:00,199,12,T1,E85,Wednesday,Winter
AA832,2024-01-03,07:00,271,18,T1,E78,Wednesday,Winter
WS813,2024-01-03,08:00,264,18,T1,E82,Wednesday,Winter
BA538,2024-01-03,19:30,97,3,T1,E82,Wednesday,Winter
AC969,2024-01-03,17:45,107,3,T1,E82,Wednesday,Winter
LH824,2024-01-03,07:45,165,11,T1,E80,Wednesday,Winter
BA893,2024-01-03,13:45,191,8,T1,E80,Wednesday,Winter
DL972,2024-01-03,07:00,191,14,T1,E78,Wednesday,Winter
LH683,2024-01-03,18:45,166,3,T1,E82,Wednesday,Winter
