date,delayed_boardings,avg_wait_time_min,complaints,agents_absent,overtime_hours,day_of_week
2024-01-01,9,28.8,7,3,23.7,Monday
2024-01-02,8,44.1,7,1,26.3,Tuesday
2024-01-03,8,27.4,7,1,29.4,Wednesday
2024-01-04,12,40.7,4,3,27.6,Thursday
2024-01-05,15,26.7,7,3,19.8,Friday
2024-01-06,7,15.7,1,1,13.2,Saturday
2024-01-07,6,15.4,3,1,11.1,Sunday
2024-01-08,9,44.6,7,1,19.3,Monday
2024-01-09,10,30.1,3,1,19.6,Tuesday
2024-01-10,14,38.6,3,3,29.4,Wednesday
2024-01-11,10,25.5,3,2,20.8,Thursday
2024-01-12,13,27.8,5,2,20.6,Friday
2024-01-13,3,15.8,2,2,15.0,Saturday
2024-01-14,6,22.6,4,0,11.2,Sunday
2024-01-15,13,34.3,6,1,22.3,Monday
2024-01-16,14,37.7,3,2,23.3,Tuesday
2024-01-17,9,29.9,7,3,26.8,Wednesday
2024-01-18,12,36.4,6,1,27.7,Thursday
2024-01-19,11,40.7,4,2,23.1,Friday
2024-01-20,4,26.7,4,2,13.4,Saturday
2024-01-21,3,27.2,3,2,19.7,Sunday
2024-01-22,8,26.2,6,2,24.0,Monday
2024-01-23,14,45.0,8,1,23.8,Tuesday
2024-01-24,12,25.9,8,3,23.4,Wednesday
2024-01-25,12,26.8,8,1,27.5,Thursday
2024-01-26,12,42.6,4,3,22.6,Friday
2024-01-27,5,28.3,3,2,11.1,Saturday
2024-01-28,8,21.8,2,2,19.8,Sunday
2024-01-29,13,29.2,7,2,15.2,Monday
2024-01-30,10,37.9,3,3,22.1,Tuesday
