shift_id,date,start_time,end_time,agents_assigned,team,day_of_week
SHIFT_0001,2024-01-01,06:00,14:00,8,ACAP,Monday
SHIFT_0002,2024-01-01,10:00,18:00,12,ACAP,Monday
SHIFT_0003,2024-01-01,14:00,22:00,18,ACAP,Monday
SHIFT_0004,2024-01-01,18:00,02:00,6,ACAP,Monday
SHIFT_0005,2024-01-02,06:00,14:00,8,ACAP,Tuesday
SHIFT_0006,2024-01-02,10:00,18:00,12,ACAP,Tuesday
SHIFT_0007,2024-01-02,14:00,22:00,18,ACAP,Tuesday
SHIFT_0008,2024-01-02,18:00,02:00,6,ACAP,Tuesday
SHIFT_0009,2024-01-03,06:00,14:00,8,ACAP,Wednesday
SHIFT_0010,2024-01-03,10:00,18:00,12,ACAP,Wednesday
SHIFT_0011,2024-01-03,14:00,22:00,18,ACAP,Wednesday
SHIFT_0012,2024-01-03,18:00,02:00,6,ACAP,Wednesday
SHIFT_0013,2024-01-04,06:00,14:00,8,ACAP,Thursday
SHIFT_0014,2024-01-04,10:00,18:00,12,ACAP,Thursday
SHIFT_0015,2024-01-04,14:00,22:00,18,ACAP,Thursday
SHIFT_0016,2024-01-04,18:00,02:00,6,ACAP,Thursday
SHIFT_0017,2024-01-05,06:00,14:00,8,ACAP,Friday
SHIFT_0018,2024-01-05,10:00,18:00,12,ACAP,Friday
SHIFT_0019,2024-01-05,14:00,22:00,18,ACAP,Friday
SHIFT_0020,2024-01-05,18:00,02:00,6,ACAP,Friday
SHIFT_0021,2024-01-06,06:00,14:00,6,ACAP,Saturday
SHIFT_0022,2024-01-06,10:00,18:00,9,ACAP,Saturday
SHIFT_0023,2024-01-06,14:00,22:00,14,ACAP,Saturday
SHIFT_0024,2024-01-06,18:00,02:00,4,ACAP,Saturday
SHIFT_0025,2024-01-07,06:00,14:00,6,ACAP,Sunday
SHIFT_0026,2024-01-07,10:00,18:00,9,ACAP,Sunday
SHIFT_0027,2024-01-07,14:00,22:00,14,ACAP,Sunday
SHIFT_0028,2024-01-07,18:00,02:00,4,ACAP,Sunday
SHIFT_0029,2024-01-08,06:00,14:00,8,ACAP,Monday
SHIFT_0030,2024-01-08,10:00,18:00,12,ACAP,Monday
SHIFT_0031,2024-01-08,14:00,22:00,18,ACAP,Monday
SHIFT_0032,2024-01-08,18:00,02:00,6,ACAP,Monday
SHIFT_0033,2024-01-09,06:00,14:00,8,ACAP,Tuesday
SHIFT_0034,2024-01-09,10:00,18:00,12,ACAP,Tuesday
SHIFT_0035,2024-01-09,14:00,22:00,18,ACAP,Tuesday
SHIFT_0036,2024-01-09,18:00,02:00,6,ACAP,Tuesday
SHIFT_0037,2024-01-10,06:00,14:00,8,ACAP,Wednesday
SHIFT_0038,2024-01-10,10:00,18:00,12,ACAP,Wednesday
SHIFT_0039,2024-01-10,14:00,22:00,18,ACAP,Wednesday
SHIFT_0040,2024-01-10,18:00,02:00,6,ACAP,Wednesday
SHIFT_0041,2024-01-11,06:00,14:00,8,ACAP,Thursday
SHIFT_0042,2024-01-11,10:00,18:00,12,ACAP,Thursday
SHIFT_0043,2024-01-11,14:00,22:00,18,ACAP,Thursday
SHIFT_0044,2024-01-11,18:00,02:00,6,ACAP,Thursday
SHIFT_0045,2024-01-12,06:00,14:00,8,ACAP,Friday
SHIFT_0046,2024-01-12,10:00,18:00,12,ACAP,Friday
SHIFT_0047,2024-01-12,14:00,22:00,18,ACAP,Friday
SHIFT_0048,2024-01-12,18:00,02:00,6,ACAP,Friday
SHIFT_0049,2024-01-13,06:00,14:00,6,ACAP,Saturday
SHIFT_0050,2024-01-13,10:00,18:00,9,ACAP,Saturday
SHIFT_0051,2024-01-13,14:00,22:00,14,ACAP,Saturday
SHIFT_0052,2024-01-13,18:00,02:00,4,ACAP,Saturday
SHIFT_0053,2024-01-14,06:00,14:00,6,ACAP,Sunday
SHIFT_0054,2024-01-14,10:00,18:00,9,ACAP,Sunday
SHIFT_0055,2024-01-14,14:00,22:00,14,ACAP,Sunday
SHIFT_0056,2024-01-14,18:00,02:00,4,ACAP,Sunday
SHIFT_0057,2024-01-15,06:00,14:00,8,ACAP,Monday
